Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
CASP5,38(24)[1286],18(9)[30434],7(5)[145],1(0)[2],8(4)[64]
CAT,92(49)[352],8(5)[14],6(4)[8],0(0)[0],6(3)[19]
CATSPER1,51(30)[1826],13(11)[16],9(8)[16],0(0)[0],6(4)[8]
CBL,64(41)[462],1(1)[1],8(8)[8],0(0)[0],4(2)[8]
CCDC15,68(40)[248],18(10)[51],18(7)[50],0(0)[0],7(5)[9]
CCDC153,14(9)[215],3(2)[5],4(2)[160],0(0)[0],1(0)[63]
CCDC179,2(2)[2],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CCDC34,25(16)[5967],12(5)[32],7(5)[9],2(1)[29],3(3)[3]
CCDC67,37(20)[973],15(11)[26],14(7)[230],3(2)[225],7(7)[7]
CCDC73,68(49)[395],25(19)[78],15(10)[53],0(0)[0],6(5)[7]
CCDC81,58(28)[2629],16(8)[119],13(4)[36],1(1)[1],5(5)[5]
CCDC82,40(30)[68],5(5)[5],11(8)[15],0(0)[0],2(2)[2]
CCDC83,44(29)[14223],6(4)[54],6(5)[10],1(1)[1],7(5)[289]
CCDC84,55(34)[284],15(10)[41],5(3)[11],0(0)[0],6(4)[13]
CCDC85B,1(1)[1],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CCDC86,46(16)[382],5(3)[14],7(4)[32],1(1)[1],0(0)[0]
CCDC87,66(30)[4261],18(10)[62],11(6)[251],0(0)[0],0(0)[0]
CCDC88B,154(84)[697],8(6)[10],16(11)[40],0(0)[0],3(3)[3]
CCDC89,47(27)[832],7(4)[46],4(2)[67],0(0)[0],0(0)[0]
CCDC90B,13(6)[70],11(9)[13],5(3)[7],2(1)[19],2(0)[6]
CCKBR,46(34)[195],5(4)[14],8(6)[13],0(0)[0],1(1)[1]
CCND1,18(17)[22],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
CCS,45(22)[410],4(1)[22],5(2)[11],0(0)[0],5(1)[18]
CD151,21(15)[52],2(1)[4],5(4)[6],0(0)[0],1(1)[1]
CD248,86(41)[929],2(1)[3],2(2)[2],0(0)[0],0(0)[0]
CD3D,9(3)[20],5(3)[12],5(2)[13],1(1)[1],0(0)[0]
CD3E,22(15)[77],1(0)[2],1(1)[1],0(0)[0],2(1)[4]
CD3G,3(2)[79],4(2)[22],2(1)[11],0(0)[0],2(0)[9]
CD44,67(42)[128],6(5)[8],5(3)[11],0(0)[0],4(2)[64]
CD5,46(22)[74405],2(1)[5],7(6)[10],0(0)[0],2(1)[4]
CD59,6(4)[11],2(2)[2],2(2)[2],1(0)[2],0(0)[0]
CD6,36(23)[90],4(4)[4],3(1)[10],0(0)[0],4(4)[4]
CD81,18(11)[29],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CD82,37(22)[232],2(2)[2],5(3)[14],0(0)[0],1(1)[1]
CDC42BPG,198(113)[3442],16(15)[21],22(17)[29],0(0)[0],14(10)[20]
CDC42EP2,31(19)[441],3(2)[4],1(0)[2],0(0)[0],0(0)[0]
CDCA5,25(18)[59],1(1)[1],2(1)[6],1(1)[1],1(1)[1]
CDHR5,129(62)[1621],24(14)[285],10(7)[14],2(2)[2],8(5)[20]
CDK2AP2,4(3)[16],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
CDKN1C,7(4)[11],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CDON,129(73)[1215],14(14)[14],17(15)[19],2(2)[2],9(7)[27]
CELF1,13(12)[14],1(1)[1],0(0)[0],1(0)[8],2(2)[2]
CEND1,3(1)[6],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
CEP164,113(61)[460],9(5)[13258],23(16)[127],0(0)[0],13(9)[54]
CEP57,46(32)[822],5(5)[5],4(4)[4],1(0)[2],1(1)[1]
CFL1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CHEK1,37(24)[57],9(8)[10],6(3)[11],0(0)[0],3(3)[3]
CHID1,30(15)[67],6(3)[159],6(4)[13],2(0)[16],2(2)[2]
CHKA,24(13)[56],3(2)[4],3(2)[4],1(1)[1],0(0)[0]
CHORDC1,18(8)[44],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
CHRDL2,38(19)[80],6(4)[8],10(3)[104],0(0)[0],3(2)[4]
CHRM1,11(7)[28],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CHRM4,13(9)[29],2(0)[9],0(0)[0],0(0)[0],0(0)[0]
CHRNA10,82(40)[2074],2(0)[6],11(7)[21],1(0)[4],3(1)[18]
CHST1,30(27)[35],1(1)[1],1(0)[4],0(0)[0],0(0)[0]
CKAP5,64(43)[125],2(2)[2],2(1)[3],0(0)[0],4(2)[11]
CLCF1,18(11)[50],3(2)[242],0(0)[0],1(0)[2],1(1)[1]
CLDN25,32(21)[119],2(1)[5],10(6)[20],0(0)[0],0(0)[0]
CLMP,34(19)[88],5(4)[6],6(5)[7],0(0)[0],4(3)[8]
CLNS1A,11(10)[14],6(4)[8],1(0)[2],0(0)[0],3(3)[3]
CLP1,21(14)[59],2(1)[4],2(1)[3],0(0)[0],0(0)[0]
CLPB,63(33)[385],5(4)[7],13(3)[33],4(3)[15],3(2)[18]
CNGA4,41(20)[321],2(2)[2],7(3)[59],3(2)[32],2(1)[47]
CNIH2,7(5)[10],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CNTF,31(15)[241],4(3)[5],3(1)[5],0(0)[0],2(1)[3]
CNTN5,174(100)[2257],4(1)[771],10(8)[323],0(0)[0],6(5)[7]
COA4,8(5)[18],1(1)[1],4(4)[4],0(0)[0],0(0)[0]
COLCA2,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
COMMD9,17(8)[103],5(3)[15],2(1)[3],0(0)[0],0(0)[0]
COPB1,64(45)[141],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
CORO1B,61(38)[133],5(3)[19],3(2)[4],1(1)[1],1(1)[1]
COX8A,7(6)[9],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CPSF7,53(31)[185],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CPT1A,78(52)[170],4(4)[4],5(5)[5],0(0)[0],1(0)[2]
CREB3L1,33(24)[60],5(2)[117135],1(1)[1],1(1)[1],2(2)[2]
CREBZF,14(11)[97],1(1)[1],3(2)[6],0(0)[0],0(0)[0]
CRTAM,26(14)[164],3(3)[3],5(5)[5],0(0)[0],6(3)[17]
CRY2,16(13)[20],1(1)[1],1(1)[1],2(0)[4],1(1)[1]
CRYAB,28(16)[92],0(0)[0],1(1)[1],2(1)[4],1(0)[3]
CSNK2A3,69(33)[119818],9(4)[72],17(8)[147],0(0)[0],0(0)[0]
CSRP3,30(19)[72],4(3)[5],1(1)[1],0(0)[0],5(3)[14]
CST6,6(5)[7],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CSTF3,11(9)[17],4(3)[29],6(5)[16],0(0)[0],1(1)[1]
CTNND1,99(51)[647],1(0)[2],1(0)[2],0(0)[0],3(2)[4]
CTR9,19(19)[19],1(1)[1],1(1)[1],0(0)[0],1(0)[2]
CTSC,49(32)[108],7(6)[9],5(4)[6],1(1)[1],4(4)[4]
CTSD,34(28)[111],3(2)[4],1(1)[1],2(2)[2],3(3)[3]
CTSF,40(25)[650],10(7)[11],9(7)[10],0(0)[0],12(7)[35]
CTSW,44(20)[201],8(5)[385],10(7)[48],0(0)[0],4(2)[272]
CTTN,43(26)[75],2(0)[5],7(5)[10],1(0)[2],1(1)[1]
CUL5,10(8)[15],2(2)[2],2(2)[2],0(0)[0],0(0)[0]
CWF19L2,44(26)[767],12(10)[17],10(6)[26],0(0)[0],6(5)[7]
CXCR5,14(9)[45],2(2)[2],2(2)[2],0(0)[0],0(0)[0]
CYB561A3,13(6)[52],2(0)[4],3(1)[7],0(0)[0],3(3)[3]
CYB5R2,37(19)[108],10(6)[46],3(2)[4],1(1)[1],6(4)[17]
CYP2R1,35(20)[116],8(3)[30],10(7)[13],0(0)[0],3(1)[7]
DAGLA,76(50)[897],0(0)[0],3(3)[3],0(0)[0],3(2)[12]
DAK,89(39)[666],5(2)[34],3(3)[3],0(0)[0],11(6)[37]
DCDC1,32(19)[108],8(6)[14],6(3)[13],1(1)[1],4(2)[9]
DCHS1,412(210)[2721],6(5)[77],4(3)[5],0(0)[0],4(4)[4]
DCPS,52(20)[396],5(3)[11],4(4)[4],2(2)[2],2(2)[2]
DCUN1D5,8(6)[10],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DDB1,27(16)[97],1(1)[1],1(1)[1],2(2)[2],1(1)[1]
DDB2,38(22)[92],2(2)[2],5(2)[10],0(0)[0],2(2)[2]
DDI1,49(24)[178],5(4)[44],9(6)[15],0(0)[0],0(0)[0]
DDX10,101(67)[1087],6(6)[6],15(12)[30],0(0)[0],8(7)[10]
DDX25,38(25)[77],5(3)[7],12(9)[16],0(0)[0],4(3)[8]
DDX6,9(8)[11],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DEAF1,34(17)[108],4(3)[5],8(6)[36],0(0)[0],3(3)[3]
DEFB108B,4(2)[10],4(1)[119],1(0)[7],0(0)[0],1(1)[1]
DENND5A,63(41)[145],2(2)[2],5(5)[5],1(1)[1],3(1)[13]
DEPDC7,22(15)[52],14(10)[19],8(3)[33],0(0)[0],4(4)[4]
DGAT2,38(27)[590],6(4)[9],10(5)[95],0(0)[0],4(2)[6]
DGKZ,64(31)[1103],5(5)[5],7(6)[8],1(0)[3],3(3)[3]
DHCR7,61(34)[173],6(5)[7],11(6)[103],1(0)[3],2(0)[10]
DIXDC1,29(16)[118],3(2)[24],5(1)[10],0(0)[0],2(1)[3]
DKK3,32(20)[65],4(3)[6],3(1)[8],0(0)[0],6(4)[9]
DLAT,44(26)[44468],10(10)[10],7(5)[14],1(1)[1],5(4)[8]
DLG2,77(57)[243],5(5)[5],8(7)[9],2(2)[2],3(3)[3]
DNAJB13,22(10)[212],7(7)[7],3(2)[4],0(0)[0],1(1)[1]
DNAJC24,11(8)[14],3(2)[4],4(3)[6],0(0)[0],4(2)[6]
DNAJC4,40(21)[1061],8(3)[38],7(3)[14],0(0)[0],3(3)[3]
DNHD1,224(131)[6396],35(22)[91],49(27)[280],0(0)[0],17(9)[122]
DPAGT1,31(23)[46],5(3)[10],4(3)[5],1(0)[4],2(1)[3]
DPF2,16(10)[24],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DPP3,76(47)[473],8(4)[15],7(3)[16],2(2)[2],11(8)[15]
DRAP1,4(4)[4],1(1)[1],1(1)[1],1(1)[1],1(1)[1]
DRD2,27(17)[182],0(0)[0],0(0)[0],0(0)[0],2(2)[2]
DRD4,28(16)[270],4(1)[206],3(3)[3],0(0)[0],4(2)[11]
DSCAML1,200(124)[930],4(3)[5],5(5)[5],1(1)[1],2(2)[2]
DTX4,65(46)[102],2(1)[3],2(1)[4],1(1)[1],1(0)[2]
DUSP8,12(8)[17],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
DYNC2H1,277(165)[1510],32(27)[37],44(29)[79],0(0)[0],21(13)[38]
E2F8,73(52)[288],3(2)[4],2(1)[13],0(0)[0],1(1)[1]
EED,4(3)[8],0(0)[0],1(1)[1],2(2)[2],0(0)[0]
EEF1G,11(6)[19],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
EFCAB4A,34(17)[128],8(6)[29],3(2)[18],3(0)[11],2(1)[10]
EFEMP2,54(35)[146],1(1)[1],4(3)[6],2(2)[2],1(1)[1]
EHBP1L1,165(77)[67445],20(10)[81],16(11)[26],0(0)[0],0(0)[0]
EHD1,30(16)[87],6(5)[11],1(1)[1],0(0)[0],0(0)[0]
EHF,34(22)[3755],2(1)[9],1(1)[1],0(0)[0],0(0)[0]
EIF1AD,17(10)[34],2(2)[2],1(0)[2],0(0)[0],1(1)[1]
EIF3F,20(12)[118],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
EIF3M,19(15)[40],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
EIF4G2,38(27)[111],2(1)[3],0(0)[0],0(0)[0],2(2)[2]
ELF5,42(27)[197],2(1)[7],4(3)[13],0(0)[0],0(0)[0]
ELMOD1,22(17)[36],2(2)[2],1(1)[1],1(1)[1],1(1)[1]
ELP4,55(34)[180],2(1)[4],6(5)[7],0(0)[0],1(1)[1]
EML3,72(50)[402],3(2)[10],3(2)[4],1(0)[2],3(3)[3]
ENDOD1,35(25)[111],4(3)[5],9(5)[26],0(0)[0],0(0)[0]
EPS8L2,89(58)[288],4(2)[42],8(5)[16],1(0)[2],2(2)[2]
ESAM,30(15)[312],1(1)[1],3(2)[6],1(1)[1],0(0)[0]
ESRRA,10(7)[7297],2(1)[9],1(1)[1],0(0)[0],1(1)[1]
ETS1,1(1)[1],1(1)[1],0(0)[0],1(1)[1],3(1)[5]
EXPH5,113(67)[55532],27(23)[40],32(23)[60],0(0)[0],2(1)[5]
EXT2,80(44)[548],1(1)[1],12(10)[22],0(0)[0],7(6)[8]
F2,49(32)[91],3(2)[4],4(4)[4],0(0)[0],0(0)[0]
FADD,18(15)[26],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
FADS1,8(8)[8],3(3)[3],3(2)[5],0(0)[0],1(1)[1]
FADS2,8(6)[13],0(0)[0],0(0)[0],3(2)[4],2(2)[2]
FADS3,17(12)[26],3(3)[3],4(4)[4],0(0)[0],1(0)[2]
FAM111A,40(25)[333],17(13)[31],9(6)[18],0(0)[0],2(2)[2]
FAM111B,58(42)[332],26(14)[8692],15(8)[35],1(1)[1],1(0)[10]
FAM118B,33(25)[54],8(8)[8],3(2)[4],0(0)[0],0(0)[0]
FAM160A2,92(52)[400],5(5)[5],1(1)[1],2(1)[4],0(0)[0]
FAM168A,12(7)[23],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
FAM181B,25(17)[579],1(1)[1],1(0)[2],0(0)[0],0(0)[0]
FAM76B,23(14)[53],1(1)[1],5(5)[5],0(0)[0],0(0)[0]
FAM86C1,25(14)[15268],8(7)[13],9(5)[59],0(0)[0],4(1)[20]
FAM89B,2(1)[5],0(0)[0],4(4)[4],0(0)[0],0(0)[0]
FANCF,44(21)[1760],4(3)[13],5(4)[10],1(1)[1],0(0)[0]
FAR1,8(6)[25],0(0)[0],2(2)[2],0(0)[0],1(1)[1]
FAU,5(2)[14],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
FBXO3,7(5)[10],0(0)[0],3(3)[3],1(1)[1],0(0)[0]
FCHSD2,34(19)[290],2(2)[2],2(1)[4],0(0)[0],1(0)[2]
FDX1,14(7)[24],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
FDXACB1,51(32)[225],11(10)[12],10(5)[30],2(1)[4],2(1)[74]
FEN1,25(12)[74],1(1)[1],7(5)[9],1(1)[1],0(0)[0]
FERMT3,60(31)[1254],3(3)[3],5(3)[23],1(0)[7],2(1)[9]
FEZ1,31(25)[72],0(0)[0],2(2)[2],0(0)[0],1(1)[1]
FGF19,10(7)[15],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
FGF3,42(22)[112],1(1)[1],3(1)[5],0(0)[0],0(0)[0]
FGF4,16(11)[40],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
FIBIN,20(11)[795],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
FIBP,17(11)[25],7(7)[7],3(2)[4],0(0)[0],4(4)[4]
FJX1,35(25)[248],3(3)[3],0(0)[0],0(0)[0],0(0)[0]
FKBP2,14(9)[45],3(2)[14],1(1)[1],0(0)[0],1(1)[1]
FLI1,10(9)[16],0(0)[0],1(1)[1],0(0)[0],2(2)[2]
FLRT1,87(45)[775],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
FNBP4,69(45)[841],3(3)[3],1(0)[6],0(0)[0],1(1)[1]
FOLH1,36(23)[211],5(3)[9],6(6)[6],0(0)[0],1(1)[1]
FOLR1,22(17)[54],3(2)[5],4(2)[7],0(0)[0],2(1)[417]
FOLR2,29(15)[125],2(2)[2],8(5)[13],0(0)[0],1(0)[3]
FOSL1,35(23)[120],3(3)[3],5(2)[15],0(0)[0],0(0)[0]
FOXR1,21(12)[34],9(5)[14],5(2)[12],0(0)[0],1(1)[1]
FOXRED1,51(25)[327],5(2)[48],12(8)[22],0(0)[0],7(5)[19]
FRMD8,33(23)[93],5(3)[8],3(2)[6],0(0)[0],2(2)[2]
FSHB,12(8)[20],1(0)[14],2(1)[4],0(0)[0],1(1)[1]
FTH1,2(2)[2],1(0)[2],0(0)[0],0(0)[0],1(1)[1]
FUT4,44(36)[222],11(6)[17],4(1)[14],0(0)[0],0(0)[0]
FXYD2,7(1)[166],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
FXYD6,4(1)[71],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
FXYD6-FXYD2,2(0)[68],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
FZD4,47(33)[115],3(2)[4],0(0)[0],0(0)[0],0(0)[0]
GAB2,39(26)[103],2(1)[3],0(0)[0],1(1)[1],1(1)[1]
GAL,18(7)[42],3(2)[4],2(1)[6],0(0)[0],6(3)[12]
GAL3ST3,50(29)[214],1(0)[2],7(3)[13],0(0)[0],1(1)[1]
GALNT18,76(43)[209],2(2)[2],6(4)[8],0(0)[0],0(0)[0]
GANAB,43(29)[1101],7(7)[7],3(2)[5],1(1)[1],3(3)[3]
GAS2,32(20)[83],4(4)[4],4(3)[5],0(0)[0],1(1)[1]
GDPD4,45(25)[429],21(13)[37806],6(2)[17],0(0)[0],12(4)[303]
GDPD5,34(14)[199],6(5)[7],4(2)[6],1(1)[1],2(2)[2]
GIF,25(17)[1144],1(0)[8],1(1)[1],0(0)[0],1(1)[1]
GLB1L2,70(38)[3090],16(12)[23],16(7)[238],0(0)[0],11(10)[31]
GLB1L3,65(31)[916],17(8)[44],15(3)[44],0(0)[0],9(5)[20]
GLYAT,42(18)[284],2(2)[2],6(4)[20],0(0)[0],1(1)[1]
GLYATL1,37(18)[134],4(1)[16],7(2)[58],2(2)[2],2(1)[4]
GLYATL2,24(13)[406],7(4)[13],9(9)[9],1(0)[6],4(2)[17]
GNG3,3(3)[3],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
GPHA2,22(12)[106],4(2)[10],3(1)[17],1(0)[2],3(2)[33]
GPR137,50(25)[147],7(4)[16],7(6)[8],0(0)[0],2(0)[6]
GPR152,65(28)[3138],10(4)[152],9(5)[20],0(0)[0],1(1)[1]
GPR83,61(33)[319],5(4)[6],3(2)[4],0(0)[0],1(0)[5]
GRAMD1B,34(25)[59],1(1)[1],1(1)[1],0(0)[0],3(3)[3]
GRIA4,96(59)[223],3(3)[3],5(5)[5],0(0)[0],1(1)[1]
GRIK4,97(53)[328],2(2)[2],3(3)[3],0(0)[0],3(2)[4]
GRM5,76(59)[139],4(4)[4],2(1)[3],0(0)[0],1(1)[1]
GSTP1,14(8)[43],4(3)[5],2(2)[2],0(0)[0],1(0)[2]
GTF2H1,24(15)[114],1(1)[1],1(1)[1],1(1)[1],1(1)[1]
GUCY1A2,38(31)[53],1(1)[1],3(2)[4],0(0)[0],3(2)[6]
GYLTL1B,73(35)[481],13(8)[74],14(9)[35],0(0)[0],6(5)[7]
H2AFX,6(6)[6],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
HARBI1,16(10)[32],7(5)[14],4(1)[7],0(0)[0],1(1)[1]
HBB,13(7)[93],7(1)[81],4(1)[68],0(0)[0],4(1)[18]
HBD,12(7)[29],2(2)[2],4(4)[4],1(1)[1],4(0)[8]
HBE1,14(8)[26],1(1)[1],1(1)[1],1(0)[2],2(2)[2]
HBG1,0(0)[0],1(1)[1],2(1)[3],0(0)[0],0(0)[0]
HBG2,1(1)[1],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
HEPACAM,23(13)[46],0(0)[0],1(0)[2],0(0)[0],1(0)[4]
HEPHL1,117(67)[412],19(11)[101],30(21)[67],0(0)[0],11(5)[22]
HEPN1,3(2)[5],3(3)[3],2(1)[8],0(0)[0],0(0)[0]
HINFP,53(32)[116],3(2)[4],2(2)[2],0(0)[0],0(0)[0]
HIPK3,101(61)[361],7(7)[7],5(5)[5],0(0)[0],2(1)[4]
HMBS,34(19)[195],0(0)[0],0(0)[0],1(1)[1],3(3)[3]
HNRNPUL2,26(18)[45],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
HPS5,114(69)[17457],16(11)[31],9(5)[19],1(0)[341],7(5)[12]
HPX,43(24)[256],8(5)[22],4(2)[9],1(1)[1],3(2)[8]
HRAS,12(7)[24],4(3)[7],4(2)[9],0(0)[0],1(0)[4]
HRASLS2,19(11)[315],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
HRASLS5,21(10)[64],2(1)[6],5(1)[60],1(1)[1],2(0)[4]
HSD17B12,19(9)[33],5(3)[8],2(1)[3],1(1)[1],4(3)[5]
HSPA8,13(13)[13],1(1)[1],0(0)[0],0(0)[0],1(0)[2]
HSPB2,14(7)[838],1(1)[1],2(2)[2],1(1)[1],0(0)[0]
HTATIP2,32(15)[107],9(5)[106],10(5)[29],0(0)[0],5(2)[10]
HTR3A,81(40)[324],7(5)[120],12(10)[16],1(0)[2],4(2)[8]
HTR3B,49(29)[265],7(5)[16],8(3)[20],0(0)[0],3(2)[5]
HYLS1,31(16)[498],1(1)[1],8(5)[34],2(2)[2],0(0)[0]
HYOU1,89(59)[243],2(2)[2],1(1)[1],0(0)[0],3(3)[3]
IFITM1,1(1)[1],3(3)[3],1(1)[1],0(0)[0],1(1)[1]
IFITM10,1(1)[1],1(0)[55],1(1)[1],1(1)[1],0(0)[0]
IFITM2,3(1)[10],4(2)[14],1(0)[2],2(1)[3],0(0)[0]
IFITM3,3(2)[9],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
IFITM5,22(11)[70],4(2)[9],2(0)[10],0(0)[0],3(1)[8]
IFT46,18(10)[1019],4(3)[5],1(1)[1],0(0)[0],0(0)[0]
IGF2,22(13)[55],3(2)[45],4(1)[92],1(1)[1],1(1)[1]
IGHMBP2,98(45)[2756],8(5)[28],16(10)[43],0(0)[0],3(1)[5]
IGSF22,133(67)[5171],23(14)[59],20(13)[50],0(0)[0],17(7)[300]
IGSF9B,72(44)[243],2(0)[64],2(2)[2],0(0)[0],1(1)[1]
IL10RA,22(19)[44],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
IL18,6(6)[6],1(0)[2],2(2)[2],0(0)[0],0(0)[0]
IL18BP,15(7)[30],4(2)[11],2(1)[3],2(1)[3],5(2)[11]
ILK,27(14)[98],8(5)[17],4(2)[11],0(0)[0],4(3)[6]
IMMP1L,12(9)[17],3(2)[9],2(0)[5],1(0)[2],2(1)[7]
INCENP,17(8)[384],5(2)[8],0(0)[0],0(0)[0],3(2)[11]
INPPL1,63(41)[107],9(6)[45],5(5)[5],1(1)[1],7(7)[7]
INS,7(3)[28],2(2)[2],1(1)[1],2(2)[2],1(1)[1]
INS-IGF2,4(1)[24],2(2)[2],1(1)[1],1(1)[1],1(1)[1]
INSC,75(28)[9489],11(8)[61],10(5)[18],1(0)[9],6(2)[36]
INTS4,26(17)[68],11(8)[20],7(3)[14],1(1)[1],2(2)[2]
INTS5,63(42)[256],6(6)[6],0(0)[0],0(0)[0],0(0)[0]
IPO7,36(31)[43],0(0)[0],0(0)[0],1(0)[2],1(1)[1]
IRF7,57(32)[149],16(13)[36],6(4)[12],3(2)[5],4(3)[5]
JAM3,31(24)[430],3(2)[10],4(3)[5],1(1)[1],4(2)[7]
JRKL,20(14)[58],1(1)[1],7(5)[10],0(0)[0],0(0)[0]
KAT5,11(8)[20],1(0)[3],4(4)[4],0(0)[0],1(1)[1]
KBTBD3,50(39)[84],9(7)[14],9(8)[10],0(0)[0],0(0)[0]
KBTBD4,62(43)[112],7(6)[8],5(3)[7],0(0)[0],0(0)[0]
KCNA4,40(30)[144],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
KCNC1,5(5)[5],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
KCNE3,15(8)[41],1(0)[6],0(0)[0],1(0)[3],0(0)[0]
KCNJ1,59(40)[239],6(3)[25],5(2)[27],1(1)[1],0(0)[0]
KCNJ11,45(28)[132],2(1)[3],1(1)[1],0(0)[0],0(0)[0]
KCNJ5,54(34)[99],2(2)[2],2(1)[3],1(1)[1],0(0)[0]
KCNK4,30(19)[65],3(3)[3],15(8)[59],0(0)[0],0(0)[0]
KCNK7,34(25)[53],7(1)[43],8(6)[16],0(0)[0],1(1)[1]
KCNQ1,63(36)[150],7(5)[13],6(3)[32],0(0)[0],5(4)[6]
KCTD14,51(26)[645],5(3)[444],4(3)[6],3(1)[2357],0(0)[0]
KCTD21,9(2)[141],3(2)[4],1(0)[5],1(1)[1],0(0)[0]
KDELC2,56(31)[2124],13(9)[139],9(4)[56],0(0)[0],4(4)[4]
KDM2A,18(11)[28],0(0)[0],1(0)[6],1(1)[1],1(1)[1]
KDM4D,21(15)[44],2(2)[2],3(3)[3],0(0)[0],0(0)[0]
KDM4E,28(14)[163],5(4)[4],1(0)[2],0(0)[0],0(0)[0]
KIAA1377,55(26)[607],18(11)[135],16(12)[31],1(1)[1],7(4)[19]
KIAA1549L,191(104)[717],9(5)[13],7(6)[15],1(0)[4],4(2)[6]
KIAA1731,76(53)[973],10(8)[24],7(7)[7],1(0)[5],5(5)[5]
KIF18A,65(37)[1650],9(8)[11],4(4)[4],0(0)[0],4(3)[6]
KIRREL3,99(42)[437],2(2)[2],1(1)[1],0(0)[0],2(1)[3]
KLC2,68(40)[178],1(1)[1],1(1)[1],2(0)[17],2(1)[4]
KLHL35,59(31)[199],7(4)[10],10(8)[12],0(0)[0],5(3)[15]
KMT2A,214(145)[481],0(0)[0],0(0)[0],0(0)[0],4(3)[5]
KRTAP5-1,0(0)[0],6(5)[7],5(3)[123],0(0)[0],0(0)[0]
KRTAP5-10,0(0)[0],12(3)[58],1(0)[4],2(1)[3],0(0)[0]
KRTAP5-11,0(0)[0],5(3)[8],2(1)[3],1(1)[1],0(0)[0]
KRTAP5-2,0(0)[0],15(6)[348],4(3)[10],0(0)[0],0(0)[0]
KRTAP5-3,0(0)[0],7(4)[11],1(1)[1],1(1)[1],0(0)[0]
KRTAP5-5,0(0)[0],17(4)[664],5(4)[6],1(0)[2],0(0)[0]
KRTAP5-6,0(0)[0],4(3)[5],4(2)[90],1(0)[2],0(0)[0]
KRTAP5-7,0(0)[0],6(4)[13],0(0)[0],0(0)[0],0(0)[0]
KRTAP5-8,0(0)[0],1(1)[1],3(1)[29],1(0)[5],0(0)[0]
KRTAP5-9,0(0)[0],4(4)[4],4(3)[5],0(0)[0],0(0)[0]
LAMTOR1,1(0)[5],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
LAYN,43(27)[364],9(6)[32],9(7)[19],3(2)[4],2(2)[2]
LDHA,2(2)[2],11(9)[14],3(3)[3],1(1)[1],3(2)[69]
LDHAL6A,18(10)[86],12(8)[83],3(2)[6],1(1)[1],4(2)[116]
LDHC,44(26)[205],5(5)[5],4(2)[13],0(0)[0],2(1)[18]
LDLRAD3,45(28)[115],3(2)[27],2(2)[2],0(0)[0],2(1)[5]
LGALS12,36(18)[815],4(2)[75],10(5)[21],0(0)[0],3(2)[17]
LGR4,92(57)[3759],5(5)[5],1(1)[1],0(0)[0],2(2)[2]
LIN7C,13(7)[27],2(1)[3],4(3)[8],0(0)[0],0(0)[0]
LIPT2,6(5)[7],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
LMO1,16(11)[49],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
