Gene,MGI Phenotypes,MGI Essential,MGI Seizure
SPPL2A,MP:0005018;MP:0005017;MP:0004978;MP:0004816;MP:0001807;MP:0005093;MP:0008122;MP:0008124;MP:0008496;MP:0008211;MP:0000692;MP:0008182;MP:0020001;MP:0010228;MP:0008188;MP:0002459;MP:0008135;MP:0008133;MP:0009926;MP:0001800;MP:0008498;MP:0001802;MP:0001805;MP:0001806;MP:0008174;MP:0008495;MP:0008207;MP:0008497;MP:0002490;MP:0010675;MP:0008171,0,0
ITGA8,MP:0001552;MP:0001554;MP:0011086;MP:0004936;MP:0000534;MP:0005633;MP:0002989;MP:0000063;MP:0011024;MP:0003209;MP:0002135;MP:0010818;MP:0003091;MP:0003672;MP:0010825;MP:0000527;MP:0000520;MP:0004515;MP:0003722;MP:0004517;MP:0004516;MP:0010977;MP:0010856;MP:0011110;MP:0011011;MP:0003604;MP:0005560;MP:0003566;MP:0010983;MP:0001516,1,0
ITGA9,MP:0011085;MP:0003660;MP:0002169;MP:0001732;MP:0001954;MP:0001952;MP:0003659,1,0
UGCG,MP:0011095;MP:0002086;MP:0002169;MP:0003954;MP:0002582;MP:0001698;MP:0001675;MP:0003895;MP:0003950,1,0
MYO3B,MP:0011396;MP:0000947,0,1
ATP2A1,MP:0002841;MP:0001575;MP:0003157;MP:0002106;MP:0002279;MP:0011100;MP:0001175;MP:0011087;MP:0003646;MP:0001953,1,0
ATP2A2,MP:0002843;MP:0011088;MP:0003387;MP:0001242;MP:0001262;MP:0005150;MP:0005156;MP:0006138;MP:0005598;MP:0003819;MP:0008396;MP:0004084;MP:0005602;MP:0001935;MP:0003710;MP:0004207;MP:0004485;MP:0002051;MP:0011100;MP:0011101;MP:0004003;MP:0002833;MP:0002953;MP:0030257;MP:0010402;MP:0001523;MP:0002899;MP:0002625;MP:0003828;MP:0002128;MP:0000277;MP:0010469;MP:0011097;MP:0003822;MP:0000466;MP:0001625;MP:0002083;MP:0011091;MP:0005140;MP:0010403;MP:0002067;MP:0003141;MP:0002020;MP:0003277;MP:0005202;MP:0004231;MP:0000582;MP:0003544;MP:0005493;MP:0010556;MP:0009142;MP:0000259;MP:0002754;MP:0009763;MP:0009105;MP:0001698;MP:0002753;MP:0003313;MP:0005608;MP:0013293,1,0
ATP2A3,MP:0004003;MP:0004036,0,0
ITGA1,MP:0005325;MP:0011353;MP:0011430;MP:0005553;MP:0005264;MP:0011369;MP:0005165;MP:0008140;MP:0002965,0,0
ITGA2,MP:0005464;MP:0000745;MP:0000662;MP:0002169;MP:0009549;MP:0009548;MP:0003566,0,0
ITGA3,MP:0011509;MP:0005326;MP:0011846;MP:0011359;MP:0011087;MP:0001429;MP:0008138;MP:0011409;MP:0002989;MP:0011028;MP:0004757;MP:0004756;MP:0010897;MP:0004754;MP:0003675;MP:0011348,1,0
ITGA4,MP:0005018;MP:0001711;MP:0005017;MP:0005016;MP:0002444;MP:0003156;MP:0011108;MP:0005621;MP:0003057;MP:0003799;MP:0009657;MP:0011098;MP:0009698;MP:0001726;MP:0003945;MP:0002459;MP:0000428;MP:0008135;MP:0008133;MP:0004557;MP:0010551;MP:0002127;MP:0009858;MP:0000223;MP:0008247;MP:0003628,1,0
ITGA5,MP:0012173;MP:0003229;MP:0011098;MP:0006323;MP:0002085;MP:0002086;MP:0012183;MP:0001701;MP:0001614;MP:0003984;MP:0004073;MP:0001689;MP:0004787;MP:0005221;MP:0003400,1,0
ITGA6,MP:0006009;MP:0006303;MP:0000452;MP:0001191;MP:0011089;MP:0002699;MP:0008442;MP:0000788;MP:0004272;MP:0005018;MP:0002444;MP:0001208;MP:0002152;MP:0002339,1,0
ITGA7,MP:0000759;MP:0000752;MP:0000751;MP:0005592;MP:0001614;MP:0003852;MP:0000160;MP:0005489;MP:0011108;MP:0001914;MP:0001915;MP:0011101;MP:0011102;MP:0009409;MP:0002975;MP:0009399;MP:0009403;MP:0011904;MP:0002083;MP:0009404;MP:0000749;MP:0002106;MP:0002279;MP:0009413;MP:0010090;MP:0003081,1,0
TRHR,MP:0005471;MP:0005473;MP:0001263;MP:0005121;MP:0005289;MP:0005479;MP:0005478;MP:0003351;MP:0001262;MP:0001363;MP:0005559;MP:0003503;MP:0002573;MP:0011611;MP:0011612;MP:0011613,0,0
DENND4C,MP:0010851;MP:0013294;MP:0011100;MP:0000222,1,0
RAPGEF6,MP:0000691;MP:0003205;MP:0002675;MP:0001156;MP:0001147;MP:0003566;MP:0002216;MP:0001922;MP:0002687;MP:0009230,0,0
SWAP70,MP:0002492;MP:0002007;MP:0004816;MP:0003725,0,0
PHLDA2,MP:0009431;MP:0012108;MP:0004920;MP:0003123;MP:0012098,0,0
GAP43,MP:0000861;MP:0000788;MP:0001262;MP:0004948;MP:0011085;MP:0008770;MP:0011086;MP:0020549;MP:0002083;MP:0001332;MP:0003651;MP:0005404;MP:0001334;MP:0001260;MP:0002961,1,0
NABP1,MP:0001147;MP:0004852,0,0
MDK,MP:0001570;MP:0001360;MP:0001363;MP:0010760;MP:0010124;MP:0000063;MP:0005643;MP:0000606;MP:0011110;MP:0003884;MP:0000808;MP:0002704;MP:0003795;MP:0008720;MP:0005023;MP:0000812;MP:0010052;MP:0001963;MP:0003961;MP:0002063;MP:0006055;MP:0003606;MP:0009142;MP:0003402,1,0
SQLE,MP:0011100;MP:0011092,1,0
FBXL12,MP:0004201;MP:0011110;MP:0009703;MP:0011086;MP:0008957;MP:0003984;MP:0001732;MP:0004259;MP:0008803;MP:0009546,1,0
HRH3,MP:0004799;MP:0001364;MP:0005290;MP:0001363;MP:0001362;MP:0010024;MP:0005669;MP:0003953;MP:0005447;MP:0002078;MP:0002079;MP:0005331;MP:0005559;MP:0003633;MP:0011020;MP:0001463;MP:0001544;MP:0001402;MP:0004800;MP:0005167;MP:0001433;MP:0005450;MP:0005455;MP:0011014;MP:0003313;MP:0008874,0,0
FBXL16,MP:0003050;MP:0011110;MP:0005333;MP:0002080;MP:0011959;MP:0002626,1,0
SDK2,MP:0005551,0,0
GRP,MP:0001440,0,0
TPRN,MP:0009142;MP:0004749;MP:0004534;MP:0004404;MP:0006359;MP:0001489;MP:0004529;MP:0011967;MP:0004398,0,0
ABHD14A,MP:0000480;MP:0010101,0,0
THSD1,MP:0002702;MP:0010025;MP:0005561;MP:0002590,0,0
CHST8,MP:0004851;MP:0002098;MP:0002092;MP:0002681;MP:0001750;MP:0001751;MP:0001934;MP:0002783;MP:0002781;MP:0001385;MP:0001919;MP:0001128;MP:0001402;MP:0001120;MP:0004904;MP:0004909;MP:0004928;MP:0003378;MP:0002160;MP:0002161;MP:0002808;MP:0009006,0,0
