chromosome	OFFSPRING GENDER	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
X	FEMALE	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	HOM-VAR	<10	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
