#dragendb_gene	uptodate_gene
RP11-386B13.3	LINC02436
CTD-2621I17.6	LINC01864
RP11-1033H12.1	LINC02319
CTB-134H23.2	NPIPB10P
RP11-128P17.1	LINC01928
SAR1P1	SAR1AP1
ADORA2BP	ADORA2BP1
RP11-23B15.1	PTCSC2
RP11-141M1.1	LINC02344
TCEB1P16	ELOCP16
RP1-30G7.2	LINC01186
RP11-366I13.3	RPL11P4
5S_rRNA	RNA5SP357
CTD-3203P2.2	NSMCE1-DT
C7orf73	STMP1
CTD-3025N20.2	LINC01299
RP11-452N4.1	LINC01591
RP11-396F22.1	CPNE8-AS1
PVRL2	NECTIN2
GAREML	GAREM2
RP11-421P23.1	LINC02153
RP11-436F9.1	LINC01445
RP11-693J15.5	LINC02397
RNMTL1	MRM3
RP11-366I21.1	PPIAP33
RP11-204M4.2	FGF7P3
LL0XNC01-116E7.2	TMSB15B-AS1
AC093106.7	EEF1B2P6
AL365331.2	VDAC2P3
C2orf57	TEX44
Metazoa_SRP	RN7SL803P
RP11-41O4.1	LINC01909
RP11-366M4.3	APELA
RP11-63H19.6	MTCO3P28
U6	RNU6-91P
RP11-475O23.3	FAM3D-AS1
EPT1	SELENOI
RP11-760N9.1	L3MBTL4-AS1
LINC00854	CCDC200
AC084125.4	TONSL-AS1
C1orf132	MIR29B2CHG
RP11-235D19.2	RPS27AP6
AC064834.2	LINC01825
KIAA0947	ICE1
MIR4773-2	MIR4773-1
RP11-274M4.1	MTRF1LP2
RP11-363E7.3	MAP1LC3BP1
AC087073.1	LINC01867
RP4-665J23.2	LINC01763
RP11-28P17.3	RPS27AP15
MIR4776-2	MIR4776-1
RP11-731I19.1	RPL23AP34
OR4A8P	OR4A8
RP11-714L20.1	LINC02172
RP11-213G21.2	LINC02278
EMCN-IT1	LINC01218
PPP2R4	PTPA
RP11-630C16.1	LINC02400
RP1-28O10.1	HSD11B1-AS1
RP11-715G18.3	PHBP16
RP11-2F9.3	RPS8P10
AC007557.1	LINC01921
AC013733.5	SAP18P2
AC005517.3	PPIAP53
RP11-65J21.3	MIR193BHG
TMEM110	STIMATE
RP11-226P1.2	LINC02311
CT60	LINC01193
FRMPD2P2	FRMPD2B
RP11-174G17	IGSF21-AS1
INMT-FAM188B	INMT-MINDY4
RP11-663P9.2	NDUFB4P12
AC096670.3	ACOXL-AS1
AC018463.5	PPIAP60
RP5-837O21.1	MTCO1P21
LPPR3	PLPPR3
AC004562.1	LINC01497
DEFB109	DEFB109C
SMIM11	SMIM11A
RP11-476O21.1	RNF138P2
RP11-68I18.2	RPS29P29
LINC01105	SILC1
AC007392.3	LINC01798
PYCRL	PYCR3
AC007246.3	MAP4K3-DT
RP11-127B16.1	LINC02531
AC005007.3	RPL23AP52
RP11-392A23.4	GSTA11P
TCEB1P7	ELOCP7
RP11-110H1.1	PRR13P4
LINC00263	OLMALINC
RP11-597D13.9	FAM198B-AS1
RP11-62I21.1	KIF26B-AS1
RP11-14P20.1	LINC01925
ZNF788	ZNF788P
AC012487.2	GCC2-AS1
CTC-235G5.1	SAP18P1
MRP63	MRPL57
DEFB130	DEFB130B
RP11-846F4.9	MTCO3P13
FAM188B2	MINDY4B
7SK	RN7SKP290
RP11-772E11.1	BOLA3P3
DGCR14	ESS2
AC019129.2	PDSS1P2
RP11-51O6.1	RPS27AP16
RP11-226P1.3	EEF1A1P2
CTD-2522B17.5	DUX4L45
METTL21B	EEF1AKMT3
RP11-196D18.4	SAPCD2P4
AC005152.3	ROCR
C12orf44	ATG101
AC006552.1	LINC02260
RP11-146N18.1	LINC01924
TCEB3	ELOA
HEATR2	DNAAF5
RP11-454C18.2	AADACL2-AS1
AC093375.1	LINC01876
RP11-543D5.1	LINC01738
AC023672.2	LINC01593
RP11-925D8.6	MTCYBP23
GRAMD2	GRAMD2A
LEPREL1	P3H2
CXCL1P	CXCL1P1
LINC01021	PURPL
RP11-266K4.1	DEFB109F
RP11-1E3.1	LINC01340
C5orf42	CPLANE1
RP11-221N13.3	LINC02454
SETD8	KMT5A
RP4-779E11.3	LINC01433
AC006196.1	LINC01790
RP11-579E24.1	LINC01289
AC079586.1	LINC01854
AC097711.1	KPNA2P1
RP11-766F14.2	C4orf54
RP11-451H23.3	LINC02222
RP11-98L5.2	LINC01502
RP11-354H21.1	LINC02077
RP11-460N20.7	MTDHP1
DFNB31	WHRN
RP11-227P3.1	GTF2IP11
SNORA42	SNORA80E
RP5-1172A22.1	LINC01638
AC092295.7	ZNF529-AS1
RP11-490H9.1	RFC5P1
